Function,Dimension,Run,ErrorValue,Evals,Time
4,10,13,1901.97,7120,0.368
4,10,14,1901.5,5000,0.264
4,10,15,1901.27,4880,0.254
4,10,16,1900.95,5260,0.273
4,10,17,1901.3,6010,0.333
4,10,18,1901.03,6010,0.347
4,10,19,1901,4650,0.276
4,10,20,1900.82,6260,0.359
4,10,21,1901.5,5090,0.271
4,10,22,1900.67,4720,0.244
4,10,23,1902.21,6700,0.356
4,10,24,1901.01,5940,0.311
4,10,25,1900.57,5590,0.297
4,10,26,1901.67,5450,0.282
4,10,27,1900.71,5170,0.27
4,10,28,1901.37,6700,0.351
4,10,29,1901.2,5120,0.3
4,10,30,1900.84,5160,0.3
4,10,31,1901.92,5160,0.284
4,10,32,1901.02,5270,0.278
4,10,33,1900.47,8470,0.471
4,10,34,1900.69,6270,0.373
4,10,35,1902.33,4390,0.232
4,10,36,1900.77,4970,0.264
4,10,37,1901.16,5900,0.309
4,10,38,1900.73,5620,0.292
4,10,39,1901.32,5620,0.298
4,10,40,1900.98,5780,0.305
4,10,41,1901.75,6100,0.318
4,10,42,1901.28,7430,0.378
4,10,43,1900.56,10120,0.526
4,10,44,1901.36,4910,0.265
4,10,45,1900.93,6390,0.345
4,10,46,1902.48,4310,0.241
4,10,47,1901.12,6450,0.365
4,10,48,1901.15,6010,0.333
4,10,49,1901.01,5750,0.332
4,10,50,1901.17,7480,0.441
4,10,51,1901.48,5360,0.306
5,10,1,1902.01,7290,0.413
5,10,2,2062.94,16400,0.873
5,10,3,2274.84,6750,0.381
5,10,4,2483.62,13710,0.714
5,10,5,2088.55,7370,0.379
5,10,6,2558.2,13670,0.698
5,10,7,2397.11,7830,0.401
5,10,8,1896.35,7450,0.374
5,10,9,2701.32,12690,0.629
5,10,10,1925.64,7670,0.415
5,10,11,2292.79,7620,0.41
5,10,12,2462.51,8300,0.421
5,10,13,2270.86,7090,-2.161
5,10,14,2529.5,7170,0.389
5,10,15,1868.65,8240,0.417
5,10,16,2123.96,7970,0.413
5,10,17,1735.05,7360,0.371
5,10,18,2126.31,6720,0.345
5,10,19,2280.51,8200,0.415
5,10,20,1710.16,7470,0.373
5,10,21,2052.7,6930,0.351
5,10,22,2645.74,7640,0.39
5,10,23,2308.42,6730,0.354
5,10,24,2001.07,13980,0.685
5,10,25,2289.03,7910,0.404
5,10,26,2386.02,14240,0.704
5,10,27,2344.87,7200,0.367
5,10,28,2079.5,7960,0.408
5,10,29,1943.01,7640,0.38
5,10,30,2417.51,7370,0.376
5,10,31,2400.87,27730,1.405
5,10,32,2339.78,7680,0.396
5,10,33,2495.69,9670,0.491
5,10,34,2266.02,8680,0.459
5,10,35,2042.58,8030,0.423
5,10,36,2392.3,7570,0.394
5,10,37,2074.85,7590,0.4
5,10,38,2083.77,7750,0.405
5,10,39,2356.74,7480,0.382
5,10,40,2149.75,7890,0.437
5,10,41,1909.49,10120,0.552
5,10,42,2083.77,7640,0.417
5,10,43,2138.95,14600,0.731
5,10,44,2108.69,7450,0.379
5,10,45,2052.72,6800,0.341
5,10,46,2396.36,8340,0.442
5,10,47,2050.54,8890,0.489
5,10,48,2278.07,8200,0.442
5,10,49,2609.23,9230,0.48
5,10,50,2020.36,7220,0.364
5,10,51,2114.99,8340,0.429
6,10,1,1878.13,12550,0.648
6,10,2,1719.67,16610,0.839
6,10,3,1612.62,13060,0.689
6,10,4,1601.27,27730,1.449
6,10,5,1601.48,11280,0.584
6,10,6,1758.16,13930,0.705
6,10,7,1938.14,27730,1.448
6,10,8,1736.26,20300,1.067
6,10,9,1719.83,19260,1.011
6,10,10,1612.79,12050,0.667
6,10,11,1721.34,15160,0.83
6,10,12,1613.08,19260,1.04
6,10,13,1924.14,17770,0.917
6,10,14,1721.51,16900,0.885
6,10,15,1671.14,13960,0.715
6,10,16,1601.5,27730,-0.797
6,10,17,1846.87,12360,0.62
6,10,18,1841.26,16390,0.841
6,10,19,1719.77,14410,0.774
6,10,20,1601.29,13260,0.699
6,10,21,1601.41,13780,0.705
6,10,22,1601.56,13350,0.694
6,10,23,2036.81,12210,0.625
6,10,24,1601.6,12630,0.654
6,10,25,1875.07,25340,1.367
6,10,26,1612.34,20000,1.037
6,10,27,1853.26,17000,0.898
6,10,28,1944.39,22830,1.251
6,10,29,1837.94,16550,0.909
6,10,30,1601.85,15700,0.859
6,10,31,1731.93,15950,0.854
6,10,32,1736.73,12820,0.676
6,10,33,1721.04,16260,0.896
6,10,34,1746.85,12640,0.655
6,10,35,1736.22,19490,1.036
6,10,36,1856.23,14550,0.759
6,10,37,1758.14,15630,0.825
6,10,38,1746.86,22190,1.137
6,10,39,1601.62,17270,0.889
6,10,40,1851.65,15600,0.818
6,10,41,1840.46,19560,1.15
6,10,42,1719.77,13570,0.782
6,10,43,1879.72,15510,0.868
6,10,44,1719.92,14960,0.852
6,10,45,1758.5,18040,0.951
6,10,46,1980.33,27730,1.538
6,10,47,1600.62,12170,0.635
6,10,48,1719.88,14980,0.8
6,10,49,1839.65,14360,0.765
6,10,50,1808.59,14450,0.762
6,10,51,1602.05,18340,0.988
7,10,1,3028.79,17590,0.93
7,10,2,2443.27,26840,-0.888
7,10,3,2339.02,22940,1.247
7,10,4,2221.69,15740,0.873
7,10,5,2460.85,21780,1.191
7,10,6,2566.38,27730,1.432
7,10,7,2456.23,19480,0.984
7,10,8,2696.27,20660,1.072
7,10,9,2440.59,21670,1.071
7,10,10,2100.95,17150,0.822
7,10,11,2762.69,27320,1.385
7,10,12,2318.05,18660,0.971
7,10,13,2247.99,17790,0.912
7,10,14,2345.12,20190,0.993
7,10,15,2104.24,16440,0.822
7,10,16,2499.87,23180,1.158
7,10,17,2136.51,27730,1.41
7,10,18,2219.7,18210,0.894
7,10,19,2418.65,23760,1.188
7,10,20,2937.08,19840,0.986
7,10,21,2403.69,19040,0.941
7,10,22,2652.14,21220,1.132
7,10,23,2520.14,19620,1.01
7,10,24,2762.64,21900,1.146
7,10,25,2932.08,26060,1.543
7,10,26,2465.77,26300,1.644
