Function,Dimension,Run,ErrorValue,Evals,Time
4,10,13,1901.1,7070,0.406
4,10,14,1900.9,4900,0.283
4,10,15,1900.46,6680,0.389
4,10,16,1901.07,5010,0.29
4,10,17,1901.27,3990,0.233
4,10,18,1900.72,7270,0.418
4,10,19,1901.42,5150,0.3
4,10,20,1900.62,4920,0.29
4,10,21,1901.16,5640,0.325
4,10,22,1900.95,5300,0.307
4,10,23,1900.95,5730,0.33
4,10,24,1901.03,4080,0.236
4,10,25,1901.97,7050,0.41
4,10,26,1901.24,4350,0.254
4,10,27,1901.39,5720,0.337
4,10,28,1901.58,7120,0.407
4,10,29,1901.42,5110,0.301
4,10,30,1900.9,5860,0.34
4,10,31,1900.37,4760,0.287
4,10,32,1901.05,5120,0.299
4,10,33,1901.45,5470,0.319
4,10,34,1900.85,5090,0.307
4,10,35,1901.35,5040,0.293
4,10,36,1901.75,5840,0.337
4,10,37,1900.92,4250,0.25
4,10,38,1901.5,7450,0.438
4,10,39,1901.4,5760,0.335
4,10,40,1900.69,5180,0.298
4,10,41,1901.19,5490,0.331
4,10,42,1901.26,4400,0.253
4,10,43,1901.38,5280,0.306
4,10,44,1901.2,6090,0.358
4,10,45,1901.45,5980,0.343
4,10,46,1901.61,5540,0.323
4,10,47,1901.37,5820,0.339
4,10,48,1901.24,5200,0.305
4,10,49,1901.66,5150,0.302
4,10,50,1900.51,4910,0.286
4,10,51,1901.54,6670,0.39
5,10,1,2442.36,16510,0.951
5,10,2,2173.25,8270,0.53
5,10,3,2010.83,11970,0.714
5,10,4,2082.21,8690,0.52
5,10,5,1928.48,7870,0.46
5,10,6,1784.01,8300,0.496
5,10,7,2367.75,8430,0.496
5,10,8,2189.03,9090,0.549
5,10,9,1875.66,11490,0.738
5,10,10,2183.43,7300,0.461
5,10,11,1860.14,12560,0.764
5,10,12,2294.58,7590,0.438
5,10,13,1963.7,16170,0.914
5,10,14,1944.38,10110,0.597
5,10,15,2189.05,27730,0.472
5,10,16,2758.16,8100,0.521
5,10,17,2326.62,8260,0.491
5,10,18,2391.09,8130,0.47
5,10,19,2826.41,8080,0.496
5,10,20,2246.54,21100,1.219
5,10,21,1895.58,8360,0.48
5,10,22,2138.92,8430,0.489
5,10,23,2231.24,7350,0.423
5,10,24,2267.09,15580,0.891
5,10,25,1981.59,9390,0.552
5,10,26,2221.34,9090,0.523
5,10,27,2018.14,8090,0.473
5,10,28,2222.36,8170,0.474
5,10,29,2554.4,7720,0.45
5,10,30,2275.2,20550,1.198
5,10,31,2296.37,7290,0.428
5,10,32,2356.78,15650,0.888
5,10,33,1853.72,7520,0.428
5,10,34,2090.62,8040,0.469
5,10,35,2410.76,7840,0.458
5,10,36,2036.82,8570,0.495
5,10,37,2284.37,9790,0.567
5,10,38,2344.85,9690,0.558
5,10,39,1997.65,8720,0.504
5,10,40,2637.37,8480,0.499
5,10,41,2262.58,9310,0.547
5,10,42,2024.54,8040,0.471
5,10,43,2200.45,8420,0.487
5,10,44,2245.96,13120,0.773
5,10,45,2219.52,20870,1.217
5,10,46,2554.25,12960,0.766
5,10,47,2217.7,8710,0.504
5,10,48,2106.83,8270,0.48
5,10,49,2311.06,10410,0.613
5,10,50,2157.32,16090,0.931
5,10,51,2064.64,8080,0.472
6,10,1,1818.79,20120,1.167
6,10,2,1910.23,13190,0.77
6,10,3,2114.93,12880,0.776
6,10,4,1949.39,15490,0.909
6,10,5,1878.48,12280,0.717
6,10,6,1601.8,14360,0.84
6,10,7,1742.17,16520,0.959
6,10,8,1721.15,24310,1.415
6,10,9,1840.66,17950,1.045
6,10,10,1736.19,15720,-0.311
6,10,11,1818.68,18130,1.049
6,10,12,2115.18,19020,1.095
6,10,13,1895.24,15290,0.884
6,10,14,1838.36,21880,1.285
6,10,15,1612.47,15070,0.869
6,10,16,1602.38,16200,0.957
6,10,17,1838.52,16700,0.959
6,10,18,2012.69,14870,0.884
6,10,19,2193.74,21180,1.272
6,10,20,1601.34,16880,1.029
6,10,21,1720.49,15120,0.877
6,10,22,1902.39,15010,0.869
6,10,23,1601.55,27730,1.587
6,10,24,2002.33,17640,1.019
6,10,25,1720.94,27730,1.591
6,10,26,1601.55,17580,1.009
6,10,27,1760.55,15350,0.897
6,10,28,1601.95,15470,0.887
6,10,29,1855.46,16350,0.941
6,10,30,1601.06,27730,1.598
6,10,31,1878.4,14200,0.82
6,10,32,2076.33,15390,0.874
6,10,33,1847.75,15670,0.908
6,10,34,1612.77,14410,0.827
6,10,35,1839.84,16890,0.974
6,10,36,1854.12,18040,1.038
6,10,37,1799.57,17310,1.032
6,10,38,1851.96,12300,0.719
6,10,39,1721.01,15740,0.9
6,10,40,1721.6,16620,0.954
6,10,41,1758.9,12380,0.715
6,10,42,1601.44,18180,-0.191
6,10,43,1601.67,14040,0.814
6,10,44,2006.14,17000,0.974
6,10,45,1721.26,13610,0.79
6,10,46,2031.34,23580,1.383
6,10,47,1958.25,18460,1.08
6,10,48,1601.29,17510,1.005
6,10,49,1614.27,16450,0.955
6,10,50,1860.42,14760,0.841
6,10,51,1934.93,15340,0.887
7,10,1,2353.89,27730,1.596
7,10,2,2744.99,27730,1.564
7,10,3,2400.22,19800,1.137
7,10,4,2851.44,27730,1.59
7,10,5,2279.88,24670,1.391
7,10,6,2937.24,22790,1.298
7,10,7,2737.71,22060,1.246
7,10,8,2769.65,23400,1.336
7,10,9,2544.4,27730,1.602
7,10,10,2577.02,21210,1.203
7,10,11,2354.16,19930,1.135
7,10,12,2613.33,20510,1.151
7,10,13,2645.9,21220,1.207
7,10,14,2317.2,22950,1.287
7,10,15,2399.65,26440,1.488
7,10,16,2459.92,27730,1.667
7,10,17,2484.61,20400,-0.053
7,10,18,2356.29,20100,1.168
7,10,19,2324.38,16990,0.963
7,10,20,2339.7,22060,1.252
7,10,21,2547.81,27730,1.557
7,10,22,2436.41,19040,1.1
7,10,23,2474.43,20700,1.171
7,10,24,2560.54,18820,1.097
7,10,25,2461.51,21420,1.206
7,10,26,2460.44,27730,1.587
7,10,27,2441.21,21540,1.242
7,10,28,2648.57,25710,1.462
7,10,29,2349.35,20510,1.175
7,10,30,2338.13,25430,1.477
7,10,31,2519.89,21990,1.252
7,10,32,2388.12,20210,1.152
7,10,33,2227.09,21270,1.261
7,10,34,2448.03,26040,1.498
7,10,35,2473.95,27730,1.594
7,10,36,2338.65,27730,1.584
7,10,37,2468.11,25430,1.469
7,10,38,2370.5,27730,1.578
7,10,39,2317.69,22640,1.277
7,10,40,2456.39,19200,1.111
7,10,41,2683.13,20620,1.194
7,10,42,2219.17,27730,0.33
7,10,43,2283.53,23640,1.34
7,10,44,2876.09,22820,1.292
7,10,45,2786.5,21240,1.213
7,10,46,2443.48,18350,1.042
7,10,47,2499.97,23260,1.317
7,10,48,2237.2,22330,1.252
7,10,49,2500.35,20460,1.167
7,10,50,2658.07,20010,1.151
7,10,51,2631.1,22330,1.261
8,10,1,3037.57,3300,0.201
8,10,2,3762.83,3740,0.224
8,10,3,3392,3150,0.191
8,10,4,3580.85,3190,0.196
8,10,5,3076.71,3230,0.194
8,10,6,2300,4580,0.275
8,10,7,2300.6,3330,0.209
8,10,8,2300,4870,0.301
8,10,9,3702.78,2900,0.175
8,10,10,2300,4990,0.306
8,10,11,2300,4860,0.306
8,10,12,3595.95,3670,0.23
8,10,13,3268.67,3420,0.209
8,10,14,2300,4950,0.3
8,10,15,2300.29,3520,0.215
8,10,16,2300.29,3430,0.207
8,10,17,3663.26,3060,0.187
8,10,18,2300,4650,0.284
8,10,19,3092.54,3660,0.226
8,10,20,2300,5030,0.306
8,10,21,2225.01,2960,0.187
8,10,22,2300,4880,0.294
8,10,23,2300.35,3540,0.239
8,10,24,3780.49,3150,0.21
8,10,25,2300,4810,0.305
8,10,26,2300,5040,0.309
8,10,27,2300.29,3430,0.215
8,10,28,3596.74,3320,0.219
8,10,29,2300.4,3800,0.264
8,10,30,2300,4750,0.297
8,10,31,3648.45,5360,0.324
8,10,32,3591.27,3960,0.24
8,10,33,3152.27,3940,0.248
8,10,34,2535.28,3330,0.2
8,10,35,2300.4,3250,0.198
8,10,36,3629.96,4120,0.256
8,10,37,3038.48,7070,0.435
8,10,38,3216.64,3320,0.208
8,10,39,3354.5,8860,0.538
8,10,40,3922.93,3280,0.2
8,10,41,3031.97,3820,0.229
8,10,42,2300.56,3650,0.22
8,10,43,3029.04,4150,0.252
8,10,44,2300,5130,0.315
8,10,45,3618.66,14570,0.879
8,10,46,3503.75,4010,0.248
8,10,47,2300.29,3410,0.205
8,10,48,3877.32,4580,0.279
8,10,49,2300.4,4540,0.282
8,10,50,2300,5520,0.345
8,10,51,3464.53,3250,0.197
9,10,1,2500,4680,0.298
9,10,2,2500,5320,0.341
9,10,3,2744.37,3320,0.204
9,10,4,2740.21,3010,0.184
9,10,5,2741.31,3500,0.215
9,10,6,2500,4950,0.308
9,10,7,2732.76,3120,0.191
9,10,8,2500,4810,0.291
9,10,9,2741,3270,0.204
9,10,10,2600.41,2990,0.188
9,10,11,2600,4640,0.289
9,10,12,2600,4630,0.278
9,10,13,2736.45,3420,0.211
9,10,14,2742.17,3110,0.19
9,10,15,2738.7,3510,0.224
9,10,16,2740.14,3170,0.195
9,10,17,2737.11,4010,0.243
9,10,18,2500,4620,0.279
9,10,19,2738.09,3210,0.198
9,10,20,2742.33,3960,0.247
9,10,21,2741.72,3480,0.22
9,10,22,2745.46,2980,0.184
9,10,23,2735.75,3170,0.194
9,10,24,2741.92,3290,0.207
9,10,25,2742.87,3240,0.203
9,10,26,2743.13,3470,0.211
9,10,27,2738.78,4070,0.25
9,10,28,2741.45,3650,0.228
9,10,29,2744.08,3320,-1.041
9,10,30,2742.56,3880,0.238
9,10,31,2756.65,3930,0.249
9,10,32,2748.27,2950,0.183
9,10,33,2747.52,3410,0.208
9,10,34,2500,4910,0.304
9,10,35,2744.06,3120,0.189
9,10,36,2745.89,3690,0.224
9,10,37,2758.04,3220,0.196
9,10,38,2750.14,3030,0.189
9,10,39,2739.63,3620,0.227
9,10,40,2742.77,3980,0.243
9,10,41,2746.1,3780,0.24
9,10,42,2742.4,4200,0.262
9,10,43,2738.96,3320,0.209
