Function,Dimension,Run,ErrorValue,Evals,Time
4,10,13,1900.59,5550,0.365
4,10,14,1901.33,5410,0.305
4,10,15,1901.86,6180,0.385
4,10,16,1901.11,5220,0.325
4,10,17,1900.96,5580,0.382
4,10,18,1900.9,5190,0.292
4,10,19,1900.52,4800,0.327
4,10,20,1900.59,5610,0.334
4,10,21,1900.75,5730,0.342
4,10,22,1900.77,4810,0.275
4,10,23,1900.77,6080,0.398
4,10,24,1900.91,5830,0.365
4,10,25,1901.81,4380,0.258
4,10,26,1900.52,8280,0.47
4,10,27,1901.62,5690,0.327
4,10,28,1900.87,5950,0.331
4,10,29,1900.74,4380,0.246
4,10,30,1900.96,5240,0.28
4,10,31,1901.1,8340,0.457
4,10,32,1901.67,4240,0.218
4,10,33,1902.03,5530,0.281
4,10,34,1900.84,5840,0.305
4,10,35,1900.83,5990,0.357
4,10,36,1900.69,5830,0.347
4,10,37,1900.88,6400,0.363
4,10,38,1901.28,5660,0.318
4,10,39,1901.57,4520,0.252
4,10,40,1901.51,5640,0.362
4,10,41,1901.08,4750,0.253
4,10,42,1900.74,6020,0.304
4,10,43,1900.63,4970,0.262
4,10,44,1901.41,5610,0.31
4,10,45,1901.62,5370,0.304
4,10,46,1901.04,5050,0.31
4,10,47,1902.19,5870,0.349
4,10,48,1900.61,5460,0.279
4,10,49,1901.03,5760,0.333
4,10,50,1901.07,5940,0.302
4,10,51,1901.1,5510,0.343
5,10,1,2541.36,16780,0.962
5,10,2,2234.14,8000,0.446
5,10,3,2658.77,7410,0.418
5,10,4,2412.06,8550,-0.718
5,10,5,2093.59,7790,0.415
5,10,6,2545.53,7980,0.461
5,10,7,1886.3,7980,0.448
5,10,8,2693.48,7240,0.4
5,10,9,2037.36,7430,0.427
5,10,10,1935.89,7640,0.435
5,10,11,2098.59,7380,0.442
5,10,12,2534.17,7570,0.405
5,10,13,2258.82,7670,0.425
5,10,14,2346.63,7540,0.424
5,10,15,2326,7310,0.401
5,10,16,2520.63,8140,0.454
5,10,17,2519.74,8170,0.495
5,10,18,2918.26,6910,0.376
5,10,19,2300.15,21990,1.307
5,10,20,1869.64,7890,0.45
5,10,21,2283.25,16080,0.857
5,10,22,2358.4,14320,0.737
5,10,23,2450.17,8270,0.413
5,10,24,2080.81,8280,0.414
5,10,25,2045.96,10650,0.56
5,10,26,2405.14,8190,0.449
5,10,27,2119.27,7500,0.389
5,10,28,1986.48,7930,0.396
5,10,29,2799.24,14770,0.744
5,10,30,2371.82,13920,0.714
5,10,31,2735.44,7330,0.372
5,10,32,2630.05,7320,0.368
5,10,33,2664.71,27730,1.36
5,10,34,2717.12,7260,0.372
5,10,35,2114.52,10510,0.56
5,10,36,2716.92,9020,0.468
5,10,37,2218.02,7630,0.382
5,10,38,2154.39,7890,0.391
5,10,39,2059.5,14020,0.692
5,10,40,2204.14,7530,0.425
5,10,41,2080.66,7570,0.403
5,10,42,2321.79,7990,0.398
5,10,43,2052.05,7800,0.453
