Function,Dimension,Run,ErrorValue,Evals,Time
4,10,13,1901.18,5970,0.306
4,10,14,1901.31,9800,0.5
4,10,15,1900.88,5950,0.312
4,10,16,1900.67,6130,0.325
4,10,17,1901.75,4580,0.233
4,10,18,1901.67,7070,0.361
4,10,19,1900.53,5680,0.291
4,10,20,1900.78,5290,0.27
4,10,21,1901.47,4970,0.252
4,10,22,1900.72,5660,0.292
4,10,23,1901.82,7410,0.387
4,10,24,1900.58,5540,-0.926
4,10,25,1900.9,8630,0.441
4,10,26,1901.41,5610,0.304
4,10,27,1900.72,5940,0.316
4,10,28,1903.2,4330,0.24
4,10,29,1901.97,4650,0.253
4,10,30,1900.65,4950,0.267
4,10,31,1901.2,6710,0.363
4,10,32,1901.14,5710,0.311
4,10,33,1900.79,5410,0.287
4,10,34,1901.09,7110,0.372
4,10,35,1900.69,5300,0.271
4,10,36,1900.92,5650,0.291
4,10,37,1900.64,4760,0.243
4,10,38,1901.41,4980,0.253
4,10,39,1901.02,6850,0.37
4,10,40,1901.25,6070,0.321
4,10,41,1900.76,5470,0.289
4,10,42,1902.36,5010,0.27
4,10,43,1901.46,4240,0.233
4,10,44,1900.67,4400,0.244
4,10,45,1900.71,6480,0.364
4,10,46,1901.25,5090,0.266
4,10,47,1900.69,4990,0.26
4,10,48,1901.62,6160,0.315
4,10,49,1900.71,5900,0.303
4,10,50,1901.51,5290,0.289
4,10,51,1900.92,5500,0.333
5,10,1,2331.19,7370,0.412
5,10,2,2043.49,7840,0.408
5,10,3,1845.81,6970,0.371
5,10,4,1981.03,16710,0.894
5,10,5,2704.29,7130,0.38
5,10,6,1737.25,10680,0.558
5,10,7,2720.22,7450,0.389
5,10,8,2685.16,8100,0.413
5,10,9,2171.25,7680,0.419
5,10,10,2400.22,7570,0.398
5,10,11,2791.01,7770,0.391
5,10,12,2433.01,7580,0.398
5,10,13,2123.44,13940,0.704
5,10,14,2074.7,11050,0.581
5,10,15,2441.83,7180,0.374
5,10,16,2016.01,7160,0.364
5,10,17,2112.25,9080,0.493
5,10,18,2317.88,8370,0.427
5,10,19,2491.53,10710,0.543
5,10,20,1702.41,8800,0.453
5,10,21,2286.77,8050,0.414
5,10,22,2300.31,15570,0.819
5,10,23,2268.23,14110,0.756
5,10,24,2586.12,7550,0.383
5,10,25,2310.78,7530,0.39
5,10,26,2040.18,7690,0.424
5,10,27,2111.52,8350,0.475
5,10,28,1843.75,7410,0.463
5,10,29,2307.04,7370,0.429
5,10,30,2424.21,15410,0.816
5,10,31,1941.37,7590,0.406
5,10,32,1853.72,7110,0.384
5,10,33,1893.29,7870,0.43
5,10,34,2305.53,7520,0.389
5,10,35,2385.64,8030,0.46
5,10,36,2137.4,8100,0.431
5,10,37,2356.68,7850,0.402
5,10,38,2605.4,7350,0.394
5,10,39,2638.23,6920,0.365
5,10,40,2320.93,7470,0.39
5,10,41,2477.03,7370,0.395
5,10,42,2210.13,12230,0.637
5,10,43,2617.37,14100,0.735
5,10,44,1841.84,7380,0.379
5,10,45,2272.83,7680,0.406
5,10,46,2294.32,8290,0.426
5,10,47,2851.2,8020,0.433
5,10,48,2555.46,27730,1.448
5,10,49,2075.68,7650,-0.815
5,10,50,2084.08,7960,0.441
5,10,51,2134.17,7910,0.443
6,10,1,1902.01,14960,0.782
6,10,2,1732.28,15760,0.834
6,10,3,1736.14,17960,0.955
6,10,4,1612.65,15730,0.836
6,10,5,1840.41,25980,1.328
6,10,6,1890.85,12730,0.665
6,10,7,1722.3,27730,1.47
6,10,8,1975.67,22750,1.271
6,10,9,1720.07,15770,0.87
6,10,10,1737.74,14820,0.804
6,10,11,1972.78,12610,0.683
6,10,12,1601.28,19120,1
6,10,13,1987.75,22450,1.203
6,10,14,1736.14,17420,0.916
6,10,15,1855.63,12650,0.65
6,10,16,1983.02,15740,0.883
6,10,17,1735.88,14740,0.759
6,10,18,1936.77,17350,0.924
6,10,19,1601.68,19500,1.049
6,10,20,1601.68,12880,0.71
6,10,21,1878.31,18220,1.004
6,10,22,1721.06,26750,1.457
6,10,23,1601.74,26160,1.334
6,10,24,1601.6,27730,1.421
6,10,25,1601.59,17630,0.887
6,10,26,1719.65,11580,0.581
6,10,27,1959.31,22220,1.178
6,10,28,1601.16,12910,0.651
6,10,29,1839.34,16730,0.849
6,10,30,1731.07,27730,1.388
6,10,31,1821.25,12720,0.701
6,10,32,1612.61,13010,0.705
6,10,33,1720.18,17960,-0.264
6,10,34,1601.83,16130,0.886
6,10,35,1923.24,16580,0.907
6,10,36,1720.76,11920,0.625
6,10,37,1719.46,16680,0.868
6,10,38,2020.62,15820,0.824
6,10,39,1601.44,13770,0.695
6,10,40,1601.7,13150,0.662
6,10,41,1719.74,16790,0.857
6,10,42,1601.97,14540,0.761
6,10,43,1705.34,27730,1.476
6,10,44,1601.47,16180,0.858
6,10,45,1736.53,12270,0.634
6,10,46,1735.95,16090,0.832
6,10,47,1602.01,24440,1.225
6,10,48,1601.27,18510,0.942
6,10,49,1819.06,19170,0.97
6,10,50,1914.09,21700,1.176
