Function,Dimension,Run,ErrorValue,Evals,Time
4,10,13,1900.65,5340,0.278
4,10,14,1900.66,4660,0.245
4,10,15,1901.26,4910,0.259
4,10,16,1900.65,5860,0.308
4,10,17,1901.04,7540,0.387
4,10,18,1900.77,4510,0.233
4,10,19,1900.91,5780,0.301
4,10,20,1901.19,5220,0.27
4,10,21,1900.78,5460,0.288
4,10,22,1901.09,4670,0.253
4,10,23,1901.11,4950,0.266
4,10,24,1901.01,4290,0.224
4,10,25,1900.89,5660,0.297
4,10,26,1900.75,5160,0.269
4,10,27,1902.32,4850,0.255
4,10,28,1900.97,4970,0.258
4,10,29,1901.17,5480,0.29
4,10,30,1900.67,5110,0.265
4,10,31,1901.39,5710,0.312
4,10,32,1900.88,5190,0.267
4,10,33,1901.74,6700,0.365
4,10,34,1901.41,4780,0.249
4,10,35,1900.8,4920,0.257
4,10,36,1900.74,4310,0.227
4,10,37,1901.23,4770,0.249
4,10,38,1901.79,5520,0.299
4,10,39,1901.04,5300,0.282
4,10,40,1900.86,4150,0.216
4,10,41,1901.17,5080,0.266
4,10,42,1900.68,4830,0.255
4,10,43,1900.76,4530,0.235
4,10,44,1900.9,4700,0.242
4,10,45,1901.68,4220,0.22
4,10,46,1901.04,6630,0.351
4,10,47,1900.91,5520,0.289
4,10,48,1900.94,6150,0.339
4,10,49,1900.86,5740,0.3
4,10,50,1900.61,4540,0.24
4,10,51,1900.62,5830,0.301
5,10,1,1965.62,7590,0.392
5,10,2,1968.88,7260,0.382
5,10,3,2273.03,8080,0.421
5,10,4,1989.61,12780,0.684
5,10,5,2150.93,7410,0.383
5,10,6,2396.3,7740,0.408
5,10,7,2551.5,8480,0.44
5,10,8,2071.87,8180,0.435
5,10,9,2178.66,7670,0.401
5,10,10,2101.31,7330,0.38
5,10,11,1890.84,8130,0.432
5,10,12,2204.17,8010,0.419
5,10,13,2273.65,7550,0.386
5,10,14,2378.23,13400,0.692
5,10,15,1987.56,15250,0.82
5,10,16,1734.45,7870,0.407
5,10,17,2225.47,7330,0.38
5,10,18,2549.29,10190,0.535
5,10,19,2003.88,16210,0.83
5,10,20,2193.57,14990,0.775
5,10,21,2743.26,7130,0.386
5,10,22,2592.45,14290,0.731
5,10,23,2265,10100,0.528
5,10,24,2233.24,7760,0.407
5,10,25,1975.79,16670,0.868
5,10,26,2033.82,7530,0.405
5,10,27,2425.69,7310,0.376
5,10,28,2594.01,8130,0.419
5,10,29,2211.25,14380,0.739
5,10,30,2642.83,27730,1.438
5,10,31,2261.92,7350,0.375
5,10,32,2506.27,7800,0.412
5,10,33,2300.59,7310,0.374
5,10,34,2312.87,15260,0.767
5,10,35,2075.61,7830,0.394
5,10,36,2496.18,8390,0.447
5,10,37,2270.81,15610,-0.41
5,10,38,1800.69,8440,0.448
5,10,39,2109.99,7600,0.403
5,10,40,2541.55,7720,0.405
5,10,41,2391.45,16440,0.855
5,10,42,2202.87,7230,0.381
5,10,43,2146.24,10480,0.552
5,10,44,2154.57,8110,0.428
5,10,45,2113.6,6660,0.342
5,10,46,2424.78,10350,0.549
5,10,47,2553.78,7580,0.391
5,10,48,2150.44,7820,0.404
5,10,49,2355.51,7620,0.4
5,10,50,2294.61,8460,0.444
5,10,51,1936.25,9920,0.521
6,10,1,1612.67,22010,1.127
6,10,2,1612.86,13130,0.682
6,10,3,1901.06,11360,0.592
6,10,4,1720.13,19460,1.018
6,10,5,1601.51,27730,1.432
6,10,6,1720.55,12330,0.63
6,10,7,1721.24,14130,0.735
6,10,8,1902.84,19650,1.022
6,10,9,1601.34,13990,0.726
6,10,10,1851.68,15560,0.791
6,10,11,1736.04,13250,0.702
6,10,12,1601.25,21600,1.108
6,10,13,1958.11,25040,1.319
6,10,14,1719.76,13630,0.7
6,10,15,1720.88,16790,0.878
6,10,16,1721.5,12840,0.659
6,10,17,1959.65,16840,0.87
6,10,18,1719.85,19940,1.025
6,10,19,1836,14530,0.746
6,10,20,1722.04,27730,1.453
6,10,21,1758.68,17610,0.909
6,10,22,1894.79,14280,0.745
6,10,23,1735.7,12140,0.63
6,10,24,1840.52,21810,1.122
6,10,25,2189.22,15210,0.783
6,10,26,1721.26,19620,1.008
6,10,27,1601.89,17730,0.915
6,10,28,1849.16,12960,0.661
6,10,29,1732.24,18600,-0.262
6,10,30,1601.51,18480,0.946
6,10,31,1736.25,17230,0.899
6,10,32,1838.55,23070,1.191
6,10,33,1612.94,18480,0.972
6,10,34,1720.76,27730,1.42
6,10,35,1808,15220,0.791
6,10,36,1601.7,17970,0.943
6,10,37,1818.9,15060,0.79
6,10,38,1839.75,13290,0.685
6,10,39,1736.34,14440,0.748
6,10,40,1601.52,14480,0.767
6,10,41,1601.35,15000,0.779
6,10,42,1870.73,14520,0.739
6,10,43,1735.91,13910,0.725
6,10,44,1600.91,18050,0.925
6,10,45,1721.1,23570,1.249
6,10,46,1721.15,17350,0.881
6,10,47,1719.48,13240,0.719
6,10,48,1719.89,15340,0.778
6,10,49,1721,25470,1.317
6,10,50,1956.02,20370,1.072
6,10,51,1854.36,15020,0.773
7,10,1,2283.35,27730,1.405
7,10,2,2317.57,20020,1.004
7,10,3,2472.26,14960,0.766
7,10,4,2484.28,13760,0.721
7,10,5,2441.22,20910,1.063
7,10,6,2899.44,18400,0.937
7,10,7,2436.39,17860,0.894
7,10,8,2366.13,20320,1.022
7,10,9,2177.28,27730,1.422
7,10,10,2418.78,22960,1.181
7,10,11,2396.97,18510,-0.298
7,10,12,2444.92,22050,1.135
7,10,13,2643.27,22700,1.163
7,10,14,2117.9,19730,1.005
7,10,15,2283.45,27730,1.444
7,10,16,2514.12,23810,1.243
7,10,17,2366.1,24870,1.256
7,10,18,2932.31,21420,1.115
7,10,19,2842.76,18820,0.961
7,10,20,2539.45,27730,1.394
7,10,21,2366.46,17470,0.899
7,10,22,2101.16,24410,1.277
7,10,23,2338.83,26930,1.38
7,10,24,2617.17,27730,1.426
7,10,25,2379.81,23940,1.204
7,10,26,2280.08,21740,1.116
7,10,27,2728.11,17790,0.903
7,10,28,2376.38,21970,1.134
7,10,29,2782.78,20920,1.06
7,10,30,2283.82,22630,1.157
7,10,31,2635.94,24160,1.226
7,10,32,2783.42,18810,0.966
7,10,33,2697.82,18700,0.943
7,10,34,2475.84,20320,1.051
7,10,35,2238.43,19490,0.998
7,10,36,2652.52,19480,0.98
7,10,37,2318.72,15570,0.812
7,10,38,3046.96,21150,1.093
7,10,39,2865.37,24440,1.225
7,10,40,2342.34,20560,-0.174
7,10,41,2482.27,18790,0.961
7,10,42,2479.34,17030,0.865
7,10,43,2366.23,19270,1.02
7,10,44,2442.74,18590,0.934
7,10,45,2444.39,18050,0.94
7,10,46,2100.82,27730,1.431
7,10,47,2344.9,19330,0.984
7,10,48,2575.46,19690,1.028
7,10,49,2337.61,21760,1.112
7,10,50,2648.01,26460,1.358
7,10,51,2656.85,24350,1.264
8,10,1,3262.13,27730,1.487
8,10,2,2300,4790,0.264
8,10,3,3432.38,3910,0.206
8,10,4,3319.22,3710,0.2
8,10,5,2211.4,3800,0.226
8,10,6,2300,4990,0.273
8,10,7,3291.68,4260,0.232
8,10,8,2300,5260,0.286
8,10,9,3512.34,27730,1.492
8,10,10,2300,5110,0.279
8,10,11,3075.81,3600,0.194
8,10,12,3641.03,4050,0.215
8,10,13,2300.35,3370,0.179
8,10,14,2300,5590,0.307
8,10,15,2300.34,3310,0.181
8,10,16,2300.29,3680,0.197
8,10,17,3386.66,4920,0.27
8,10,18,2879.6,3650,0.203
8,10,19,2300.59,3740,0.214
8,10,20,3462.57,3860,0.211
8,10,21,2459.03,5570,0.303
8,10,22,3330.85,4350,0.236
8,10,23,2300,5150,0.286
8,10,24,2300,5140,0.276
8,10,25,2300,4760,0.257
8,10,26,3063.58,5010,0.277
