Function,Dimension,Run,ErrorValue,Evals,Time
4,10,13,1900.99,5370,0.314
4,10,14,1901.21,4550,0.233
4,10,15,1901.18,6830,0.345
4,10,16,1901.69,5390,0.272
4,10,17,1901.69,4910,0.252
4,10,18,1901.11,5060,0.264
4,10,19,1901.04,5470,0.287
4,10,20,1901.31,4950,0.257
4,10,21,1901.97,4390,0.236
4,10,22,1900.84,4620,0.245
4,10,23,1901.68,5200,0.304
4,10,24,1901.44,5870,0.296
4,10,25,1900.73,6670,0.335
4,10,26,1901.83,6210,0.318
4,10,27,1901.5,7370,0.374
4,10,28,1901.33,5630,0.291
4,10,29,1901.39,5860,0.293
4,10,30,1901.22,5200,0.265
4,10,31,1900.91,6380,-0.894
4,10,32,1900.98,5630,0.292
4,10,33,1900.84,4570,0.239
4,10,34,1900.56,4930,0.258
4,10,35,1900.73,4990,0.252
4,10,36,1901.68,4680,0.244
4,10,37,1901.65,6200,0.317
4,10,38,1901.11,6730,0.347
4,10,39,1901.04,5830,0.305
4,10,40,1900.86,4480,0.268
4,10,41,1901.06,5050,0.254
4,10,42,1900.45,4910,0.249
4,10,43,1901.62,4660,0.244
4,10,44,1901.56,5270,0.276
4,10,45,1901.53,5410,0.279
4,10,46,1900.59,5370,0.267
4,10,47,1901.39,4630,0.238
4,10,48,1900.72,7860,0.42
4,10,49,1900.92,5600,0.288
4,10,50,1900.89,5150,0.304
4,10,51,1901.81,5650,0.302
5,10,1,2089.74,7210,0.389
5,10,2,1869.7,10360,0.573
5,10,3,2041.32,7600,0.42
5,10,4,2144.15,8440,0.452
5,10,5,1993.57,14300,0.798
5,10,6,1928.08,8290,0.451
5,10,7,2235.71,7440,0.412
5,10,8,2262.8,7140,0.383
5,10,9,2216.33,8320,0.43
5,10,10,1759.14,7280,0.371
5,10,11,2378.98,7280,0.432
5,10,12,1937.83,7350,0.364
5,10,13,2394.61,7840,0.399
5,10,14,2080.35,7340,0.369
5,10,15,1923.05,7160,0.362
5,10,16,1977.45,11100,0.571
5,10,17,2415,14890,0.803
5,10,18,2098.72,7540,0.399
5,10,19,2217.82,15780,0.835
5,10,20,2566.2,7480,0.405
5,10,21,2093.74,7750,0.421
5,10,22,2128.21,8410,0.519
5,10,23,2112.23,8910,0.483
5,10,24,2679.46,7260,0.412
5,10,25,2526.88,13070,0.679
5,10,26,2115.5,9810,0.519
5,10,27,2243.66,8530,0.466
5,10,28,2264.7,7260,0.369
5,10,29,2124.4,8210,0.43
5,10,30,2147.71,7580,0.377
5,10,31,1973.06,7910,0.394
5,10,32,1828.24,7750,0.393
5,10,33,2356.79,7880,0.438
5,10,34,2374.86,15710,0.841
5,10,35,1867.9,7970,0.443
5,10,36,2363.01,7490,0.424
5,10,37,2036.19,7160,0.387
5,10,38,1933.5,10550,0.589
5,10,39,2349.35,7340,0.449
5,10,40,1889.61,7850,0.406
5,10,41,2749.84,7380,0.386
5,10,42,1977.71,7770,0.399
