Function,Dimension,Run,ErrorValue
4,10,33,1.90041473e+03
4,10,34,1.90021880e+03
4,10,35,1.90044615e+03
4,10,36,1.90042777e+03
4,10,37,1.90041826e+03
4,10,38,1.90026471e+03
4,10,39,1.90037019e+03
4,10,40,1.90041196e+03
4,10,41,1.90039823e+03
4,10,42,1.90041665e+03
4,10,43,1.90036751e+03
4,10,44,1.90041890e+03
4,10,45,1.90032370e+03
4,10,46,1.90029554e+03
4,10,47,1.90036763e+03
4,10,48,1.90043530e+03
4,10,49,1.90035932e+03
4,10,50,1.90033543e+03
4,10,51,1.90030720e+03
5,10,1,1.70062443e+03
5,10,2,1.70219806e+03
5,10,3,1.70020814e+03
5,10,4,1.70041629e+03
5,10,5,1.70000000e+03
5,10,6,1.70120310e+03
5,10,7,1.70020814e+03
5,10,8,1.70000000e+03
5,10,9,1.70020814e+03
5,10,10,1.70120310e+03
5,10,11,1.70099496e+03
5,10,12,1.70539108e+03
5,10,13,1.70120310e+03
5,10,14,1.70141125e+03
5,10,15,1.70062443e+03
5,10,16,1.70198992e+03
5,10,17,1.70240620e+03
5,10,18,1.70041629e+03
5,10,19,1.70041629e+03
5,10,20,1.70099496e+03
5,10,21,1.70041629e+03
5,10,22,1.70120310e+03
5,10,23,1.70120310e+03
5,10,24,1.70020814e+03
5,10,25,1.70219806e+03
5,10,26,1.70041629e+03
5,10,27,1.70141125e+03
5,10,28,1.70141125e+03
5,10,29,1.70261435e+03
5,10,30,1.70062443e+03
5,10,31,1.70360931e+03
5,10,32,1.70141125e+03
5,10,33,1.70020814e+03
5,10,34,1.70141125e+03
5,10,35,1.70041629e+03
5,10,36,1.70062443e+03
5,10,37,1.70120310e+03
5,10,38,1.70041629e+03
5,10,39,1.70062443e+03
5,10,40,1.70141125e+03
5,10,41,1.70858409e+03
5,10,42,1.70261435e+03
5,10,43,1.70120310e+03
5,10,44,1.70020814e+03
5,10,45,1.70120310e+03
5,10,46,1.70041629e+03
5,10,47,1.70120310e+03
5,10,48,1.70120310e+03
5,10,49,1.70319302e+03
5,10,50,1.70041629e+03
5,10,51,1.70020814e+03
6,10,1,1.60082614e+03
6,10,2,1.60045048e+03
6,10,3,1.60072530e+03
6,10,4,1.60014524e+03
6,10,5,1.60059523e+03
6,10,6,1.60030966e+03
6,10,7,1.60003218e+03
6,10,8,1.60000253e+03
6,10,9,1.60002576e+03
6,10,10,1.60035909e+03
6,10,11,1.60048847e+03
6,10,12,1.60022812e+03
6,10,13,1.60070876e+03
6,10,14,1.60050211e+03
6,10,15,1.60035555e+03
6,10,16,1.60041089e+03
6,10,17,1.60046863e+03
6,10,18,1.60122157e+03
6,10,19,1.60024839e+03
6,10,20,1.60090646e+03
6,10,21,1.60028983e+03
6,10,22,1.60049165e+03
6,10,23,1.60070826e+03
6,10,24,1.60028064e+03
6,10,25,1.60007071e+03
6,10,26,1.60024048e+03
6,10,27,1.60050406e+03
6,10,28,1.60032448e+03
6,10,29,1.60019724e+03
6,10,30,1.60003597e+03
6,10,31,1.60023153e+03
6,10,32,1.60041861e+03
6,10,33,1.60023812e+03
6,10,34,1.60048830e+03
6,10,35,1.60069916e+03
6,10,36,1.60044612e+03
6,10,37,1.60044261e+03
6,10,38,1.60020678e+03
6,10,39,1.60031199e+03
6,10,40,1.60032635e+03
6,10,41,1.60005218e+03
6,10,42,1.60001946e+03
6,10,43,1.60064595e+03
6,10,44,1.60091900e+03
6,10,45,1.60051913e+03
6,10,46,1.60057597e+03
6,10,47,1.60025600e+03
6,10,48,1.60028390e+03
6,10,49,1.60044343e+03
6,10,50,1.60056605e+03
6,10,51,1.60062874e+03
7,10,1,2.10028861e+03
7,10,2,2.10001273e+03
7,10,3,2.10000565e+03
7,10,4,2.10002312e+03
7,10,5,2.10048902e+03
7,10,6,2.10049865e+03
7,10,7,2.10049880e+03
7,10,8,2.10001139e+03
7,10,9,2.10080565e+03
7,10,10,2.10066069e+03
7,10,11,2.10005168e+03
7,10,12,2.10001194e+03
7,10,13,2.10034424e+03
7,10,14,2.10032217e+03
7,10,15,2.10018056e+03
7,10,16,2.10032582e+03
7,10,17,2.10049886e+03
7,10,18,2.10104107e+03
7,10,19,2.10000632e+03
7,10,20,2.10063477e+03
7,10,21,2.10062112e+03
7,10,22,2.10062112e+03
7,10,23,2.10062754e+03
7,10,24,2.10112304e+03
7,10,25,2.10010077e+03
