Function,Dimension,Run,ErrorValue
4,10,33,1.90043522e+03
4,10,34,1.90032849e+03
4,10,35,1.90030584e+03
4,10,36,1.90047191e+03
4,10,37,1.90034978e+03
4,10,38,1.90035450e+03
4,10,39,1.90029761e+03
4,10,40,1.90038488e+03
4,10,41,1.90031745e+03
4,10,42,1.90032566e+03
4,10,43,1.90017797e+03
4,10,44,1.90037148e+03
4,10,45,1.90035823e+03
4,10,46,1.90044435e+03
4,10,47,1.90042884e+03
4,10,48,1.90049091e+03
4,10,49,1.90045670e+03
4,10,50,1.90019248e+03
4,10,51,1.90038407e+03
5,10,1,1.70099496e+03
5,10,2,1.70062443e+03
5,10,3,1.70141125e+03
5,10,4,1.70062443e+03
5,10,5,1.70020814e+03
5,10,6,1.70041629e+03
5,10,7,1.70062443e+03
5,10,8,1.70062443e+03
5,10,9,1.70020814e+03
5,10,10,1.70120310e+03
5,10,11,1.70141125e+03
5,10,12,1.70020814e+03
5,10,13,1.70020814e+03
5,10,14,1.70141125e+03
5,10,15,1.70041629e+03
5,10,16,1.70041629e+03
5,10,17,1.70141125e+03
5,10,18,1.70020814e+03
5,10,19,1.70041629e+03
5,10,20,1.70041629e+03
5,10,21,1.70099496e+03
5,10,22,1.70041629e+03
5,10,23,1.70319302e+03
5,10,24,1.70062443e+03
5,10,25,1.70141125e+03
5,10,26,1.70041629e+03
5,10,27,1.70041629e+03
5,10,28,1.70099496e+03
5,10,29,1.70240620e+03
5,10,30,1.70062443e+03
5,10,31,1.70240620e+03
5,10,32,1.70041629e+03
5,10,33,1.70539108e+03
5,10,34,1.70041629e+03
5,10,35,1.70041629e+03
5,10,36,1.70041629e+03
5,10,37,1.70161939e+03
5,10,38,1.70120310e+03
5,10,39,1.70041629e+03
5,10,40,1.70041629e+03
5,10,41,1.70240620e+03
5,10,42,1.70319302e+03
5,10,43,1.70141125e+03
5,10,44,1.70020814e+03
5,10,45,1.70062443e+03
5,10,46,1.70020814e+03
5,10,47,1.70439612e+03
5,10,48,1.70099496e+03
5,10,49,1.70497479e+03
5,10,50,1.70020814e+03
5,10,51,1.70062443e+03
6,10,1,1.60002822e+03
6,10,2,1.60046785e+03
6,10,3,1.60044094e+03
6,10,4,1.60007444e+03
6,10,5,1.60021172e+03
6,10,6,1.60070865e+03
6,10,7,1.60102248e+03
6,10,8,1.60076442e+03
6,10,9,1.60054719e+03
6,10,10,1.60053618e+03
6,10,11,1.60003643e+03
6,10,12,1.60051926e+03
6,10,13,1.60024690e+03
6,10,14,1.60003051e+03
6,10,15,1.60119854e+03
6,10,16,1.60025785e+03
6,10,17,1.60023061e+03
6,10,18,1.60037162e+03
6,10,19,1.60023849e+03
6,10,20,1.60089158e+03
6,10,21,1.60027945e+03
6,10,22,1.60040476e+03
6,10,23,1.60062938e+03
6,10,24,1.60044843e+03
6,10,25,1.60050107e+03
6,10,26,1.60009401e+03
6,10,27,1.60005591e+03
6,10,28,1.60030860e+03
6,10,29,1.60001602e+03
6,10,30,1.60023983e+03
6,10,31,1.60052702e+03
6,10,32,1.60051739e+03
6,10,33,1.60041509e+03
6,10,34,1.60005200e+03
6,10,35,1.60065843e+03
6,10,36,1.60031467e+03
6,10,37,1.60088920e+03
6,10,38,1.60040306e+03
6,10,39,1.60013402e+03
6,10,40,1.60047923e+03
6,10,41,1.60024849e+03
6,10,42,1.60053314e+03
6,10,43,1.60002749e+03
6,10,44,1.60110426e+03
6,10,45,1.60054482e+03
6,10,46,1.60023402e+03
6,10,47,1.60022894e+03
6,10,48,1.60028431e+03
6,10,49,1.60045036e+03
6,10,50,1.60050415e+03
6,10,51,1.60028483e+03
7,10,1,2.10019868e+03
7,10,2,2.10000009e+03
7,10,3,2.10000507e+03
7,10,4,2.10033397e+03
7,10,5,2.10007475e+03
7,10,6,2.10048856e+03
7,10,7,2.10029034e+03
7,10,8,2.10000037e+03
7,10,9,2.10008726e+03
7,10,10,2.10034287e+03
7,10,11,2.10031218e+03
7,10,12,2.10081149e+03
7,10,13,2.10007122e+03
7,10,14,2.10002933e+03
7,10,15,2.10049835e+03
7,10,16,2.10028741e+03
7,10,17,2.10031790e+03
7,10,18,2.10021892e+03
7,10,19,2.10001457e+03
7,10,20,2.10047557e+03
7,10,21,2.10002435e+03
7,10,22,2.10080987e+03
7,10,23,2.10050000e+03
7,10,24,2.10081217e+03
7,10,25,2.10075708e+03
7,10,26,2.10039202e+03
7,10,27,2.10049996e+03
7,10,28,2.10079721e+03
7,10,29,2.10031857e+03
7,10,30,2.10054839e+03
7,10,31,2.10000236e+03
7,10,32,2.10003231e+03
7,10,33,2.10025314e+03
7,10,34,2.10001076e+03
7,10,35,2.10081192e+03
7,10,36,2.10031220e+03
7,10,37,2.10031352e+03
7,10,38,2.10043967e+03
7,10,39,2.10049832e+03
7,10,40,2.10031218e+03
7,10,41,2.10031864e+03
7,10,42,2.10031309e+03
7,10,43,2.10053865e+03
7,10,44,2.10112434e+03
7,10,45,2.10036661e+03
7,10,46,2.10000167e+03
7,10,47,2.10049979e+03
7,10,48,2.10066928e+03
7,10,49,2.10076389e+03
7,10,50,2.10011897e+03
7,10,51,2.10081063e+03
8,10,1,2.30000000e+03
8,10,2,2.30000000e+03
8,10,3,2.30000000e+03
8,10,4,2.30000000e+03
8,10,5,2.30000000e+03
8,10,6,2.30000000e+03
8,10,7,2.30000000e+03
8,10,8,2.30000000e+03
8,10,9,2.30000000e+03
8,10,10,2.30000000e+03
8,10,11,2.30000000e+03
8,10,12,2.30000000e+03
8,10,13,2.30000000e+03
8,10,14,2.30000000e+03
8,10,15,2.30000000e+03
8,10,16,2.30000000e+03
8,10,17,2.30000000e+03
8,10,18,2.30000000e+03
8,10,19,2.30000000e+03
8,10,20,2.30000000e+03
8,10,21,2.30028784e+03
8,10,22,2.30000000e+03
8,10,23,2.30000000e+03
8,10,24,2.30000000e+03
8,10,25,2.30000000e+03
8,10,26,2.30000000e+03
8,10,27,2.30000000e+03
8,10,28,2.30000000e+03
8,10,29,2.30000000e+03
8,10,30,2.30000000e+03
8,10,31,2.30000000e+03
8,10,32,2.30000000e+03
8,10,33,2.30000000e+03
8,10,34,2.30000000e+03
8,10,35,2.30000000e+03
8,10,36,2.30000000e+03
