Function,Dimension,Run,ErrorValue
4,10,33,1.90033889e+03
4,10,34,1.90032105e+03
4,10,35,1.90035544e+03
4,10,36,1.90021300e+03
4,10,37,1.90036524e+03
4,10,38,1.90033334e+03
4,10,39,1.90034281e+03
4,10,40,1.90036979e+03
4,10,41,1.90042550e+03
4,10,42,1.90044043e+03
4,10,43,1.90038015e+03
4,10,44,1.90050429e+03
4,10,45,1.90036710e+03
4,10,46,1.90044891e+03
4,10,47,1.90025549e+03
4,10,48,1.90037037e+03
4,10,49,1.90035425e+03
4,10,50,1.90054070e+03
4,10,51,1.90031074e+03
5,10,1,1.70120310e+03
5,10,2,1.70141125e+03
5,10,3,1.70062443e+03
5,10,4,1.70120310e+03
5,10,5,1.70141125e+03
5,10,6,1.70020814e+03
5,10,7,1.70020814e+03
5,10,8,1.70120310e+03
5,10,9,1.70062443e+03
5,10,10,1.70161939e+03
5,10,11,1.70099496e+03
5,10,12,1.70041629e+03
5,10,13,1.70041629e+03
5,10,14,1.70041629e+03
5,10,15,1.70099496e+03
5,10,16,1.70041629e+03
5,10,17,1.70020814e+03
5,10,18,1.70108283e+03
5,10,19,1.70041629e+03
5,10,20,1.70099496e+03
5,10,21,1.70041629e+03
5,10,22,1.70198992e+03
5,10,23,1.70198992e+03
5,10,24,1.70041629e+03
5,10,25,1.70120310e+03
5,10,26,1.70141125e+03
5,10,27,1.70041629e+03
5,10,28,1.70141125e+03
5,10,29,1.70120310e+03
5,10,30,1.70340116e+03
5,10,31,1.70141125e+03
5,10,32,1.70240620e+03
5,10,33,1.70041629e+03
5,10,34,1.70292143e+03
5,10,35,1.70161939e+03
5,10,36,1.70120310e+03
5,10,37,1.70041629e+03
5,10,38,1.70161939e+03
5,10,39,1.70020814e+03
5,10,40,1.70062443e+03
5,10,41,1.70062443e+03
5,10,42,1.70041629e+03
5,10,43,1.70041629e+03
5,10,44,1.70000000e+03
5,10,45,1.70120310e+03
5,10,46,1.70161939e+03
5,10,47,1.70000000e+03
5,10,48,1.70120310e+03
5,10,49,1.70161939e+03
5,10,50,1.70120310e+03
5,10,51,1.70120310e+03
6,10,1,1.60052496e+03
6,10,2,1.60050497e+03
6,10,3,1.60024410e+03
6,10,4,1.60040640e+03
6,10,5,1.60026482e+03
6,10,6,1.60020706e+03
6,10,7,1.60028424e+03
6,10,8,1.60034986e+03
6,10,9,1.60022781e+03
6,10,10,1.60071117e+03
6,10,11,1.60021370e+03
6,10,12,1.60051639e+03
6,10,13,1.60042549e+03
6,10,14,1.60017014e+03
6,10,15,1.60027467e+03
6,10,16,1.60051758e+03
6,10,17,1.60073741e+03
6,10,18,1.60053405e+03
6,10,19,1.60024661e+03
6,10,20,1.60064718e+03
6,10,21,1.60028705e+03
6,10,22,1.60050467e+03
6,10,23,1.60037401e+03
6,10,24,1.60072904e+03
6,10,25,1.60033892e+03
6,10,26,1.60045750e+03
6,10,27,1.60055232e+03
6,10,28,1.60028204e+03
6,10,29,1.60050198e+03
6,10,30,1.60055358e+03
6,10,31,1.60061305e+03
6,10,32,1.60011175e+03
6,10,33,1.60068784e+03
6,10,34,1.60043387e+03
6,10,35,1.60067524e+03
6,10,36,1.60008319e+03
6,10,37,1.60120613e+03
6,10,38,1.60048542e+03
6,10,39,1.60060352e+03
6,10,40,1.60032856e+03
6,10,41,1.60106864e+03
6,10,42,1.60058343e+03
6,10,43,1.60023661e+03
6,10,44,1.60064159e+03
6,10,45,1.60046745e+03
6,10,46,1.60056058e+03
6,10,47,1.60050823e+03
6,10,48,1.60048598e+03
6,10,49,1.60025116e+03
6,10,50,1.60025514e+03
6,10,51,1.60033134e+03
7,10,1,2.10031426e+03
7,10,2,2.10031698e+03
