Function,Dimension,Run,ErrorValue
4,10,33,1.90036173e+03
4,10,34,1.90039927e+03
4,10,35,1.90041862e+03
4,10,36,1.90033578e+03
4,10,37,1.90034216e+03
4,10,38,1.90037186e+03
4,10,39,1.90025350e+03
4,10,40,1.90045187e+03
4,10,41,1.90043748e+03
4,10,42,1.90045668e+03
4,10,43,1.90044415e+03
4,10,44,1.90032522e+03
4,10,45,1.90044249e+03
4,10,46,1.90042884e+03
4,10,47,1.90030620e+03
4,10,48,1.90042495e+03
4,10,49,1.90032096e+03
4,10,50,1.90046432e+03
4,10,51,1.90027715e+03
5,10,1,1.70020814e+03
5,10,2,1.70120310e+03
5,10,3,1.70020814e+03
5,10,4,1.70120310e+03
5,10,5,1.70240620e+03
5,10,6,1.70041629e+03
5,10,7,1.70041629e+03
5,10,8,1.70000000e+03
5,10,9,1.70219806e+03
5,10,10,1.70141125e+03
5,10,11,1.70219806e+03
5,10,12,1.70141125e+03
5,10,13,1.70198992e+03
5,10,14,1.70041629e+03
5,10,15,1.70020814e+03
5,10,16,1.70020814e+03
5,10,17,1.70161939e+03
5,10,18,1.70041629e+03
5,10,19,1.70041629e+03
5,10,20,1.70041629e+03
5,10,21,1.70120310e+03
5,10,22,1.70000000e+03
5,10,23,1.70020814e+03
5,10,24,1.70219806e+03
5,10,25,1.70219806e+03
5,10,26,1.70020814e+03
5,10,27,1.70041629e+03
5,10,28,1.70020814e+03
5,10,29,1.70020814e+03
5,10,30,1.70020814e+03
5,10,31,1.70261435e+03
5,10,32,1.70020814e+03
5,10,33,1.70041629e+03
5,10,34,1.70141125e+03
5,10,35,1.70020814e+03
5,10,36,1.70041629e+03
5,10,37,1.70041629e+03
5,10,38,1.70298488e+03
5,10,39,1.70041629e+03
5,10,40,1.70041629e+03
5,10,41,1.70062443e+03
5,10,42,1.70020814e+03
5,10,43,1.70062443e+03
5,10,44,1.70161939e+03
5,10,45,1.70141125e+03
5,10,46,1.70141125e+03
5,10,47,1.70161939e+03
5,10,48,1.70141125e+03
5,10,49,1.70062443e+03
5,10,50,1.70340116e+03
5,10,51,1.70161939e+03
6,10,1,1.60002443e+03
6,10,2,1.60049091e+03
6,10,3,1.60000105e+03
6,10,4,1.60030354e+03
6,10,5,1.60023631e+03
6,10,6,1.60032752e+03
6,10,7,1.60044442e+03
6,10,8,1.60022847e+03
6,10,9,1.60036703e+03
6,10,10,1.60050242e+03
6,10,11,1.60051473e+03
6,10,12,1.60056394e+03
6,10,13,1.60015004e+03
6,10,14,1.60050268e+03
6,10,15,1.60019181e+03
6,10,16,1.60077383e+03
6,10,17,1.60091318e+03
6,10,18,1.60054104e+03
6,10,19,1.60044132e+03
6,10,20,1.60111726e+03
6,10,21,1.60026040e+03
6,10,22,1.60028459e+03
6,10,23,1.60002135e+03
6,10,24,1.60044174e+03
6,10,25,1.60020330e+03
6,10,26,1.60025085e+03
6,10,27,1.60063143e+03
6,10,28,1.60023023e+03
6,10,29,1.60032652e+03
6,10,30,1.60070357e+03
6,10,31,1.60054219e+03
6,10,32,1.60064746e+03
6,10,33,1.60011238e+03
6,10,34,1.60073656e+03
6,10,35,1.60022958e+03
6,10,36,1.60003844e+03
6,10,37,1.60023261e+03
6,10,38,1.60002959e+03
6,10,39,1.60056431e+03
6,10,40,1.60069491e+03
6,10,41,1.60043535e+03
6,10,42,1.60071101e+03
6,10,43,1.60050719e+03
6,10,44,1.60049499e+03
6,10,45,1.60043854e+03
6,10,46,1.60068118e+03
6,10,47,1.60001142e+03
6,10,48,1.60016551e+03
6,10,49,1.60022997e+03
6,10,50,1.60045097e+03
6,10,51,1.60033076e+03
7,10,1,2.10081196e+03
7,10,2,2.10036861e+03
7,10,3,2.10011527e+03
7,10,4,2.10050978e+03
7,10,5,2.10049551e+03
7,10,6,2.10049984e+03
7,10,7,2.10081192e+03
7,10,8,2.10035386e+03
7,10,9,2.10111491e+03
7,10,10,2.10003615e+03
7,10,11,2.10049957e+03
7,10,12,2.10000233e+03
7,10,13,2.10008074e+03
7,10,14,2.10069505e+03
7,10,15,2.10062489e+03
7,10,16,2.10031224e+03
7,10,17,2.10002005e+03
7,10,18,2.10080712e+03
7,10,19,2.10000358e+03
7,10,20,2.10064395e+03
7,10,21,2.10000011e+03
7,10,22,2.10031355e+03
7,10,23,2.10059917e+03
7,10,24,2.10031560e+03
7,10,25,2.10034187e+03
7,10,26,2.10049999e+03
7,10,27,2.10000584e+03
7,10,28,2.10062958e+03
7,10,29,2.10080793e+03
7,10,30,2.10005511e+03
7,10,31,2.10037984e+03
7,10,32,2.10000986e+03
7,10,33,2.10000006e+03
7,10,34,2.10000145e+03
7,10,35,2.10049403e+03
7,10,36,2.10000238e+03
7,10,37,2.10000399e+03
7,10,38,2.10091030e+03
7,10,39,2.10023974e+03
7,10,40,2.10000951e+03
7,10,41,2.10050000e+03
7,10,42,2.10035508e+03
7,10,43,2.10001143e+03
7,10,44,2.10011302e+03
7,10,45,2.10004563e+03
7,10,46,2.10000698e+03
7,10,47,2.10110009e+03
7,10,48,2.10031740e+03
7,10,49,2.10000019e+03
7,10,50,2.10002622e+03
7,10,51,2.10049883e+03
8,10,1,2.30000000e+03
8,10,2,2.30000000e+03
8,10,3,2.30000000e+03
8,10,4,2.30000000e+03
8,10,5,2.30000000e+03
8,10,6,2.30028905e+03
8,10,7,2.30000000e+03
8,10,8,2.30000000e+03
8,10,9,2.30000000e+03
8,10,10,2.30000000e+03
8,10,11,2.30000000e+03
8,10,12,2.30000000e+03
8,10,13,2.30000000e+03
8,10,14,2.30000000e+03
8,10,15,2.30000000e+03
8,10,16,2.30000000e+03
8,10,17,2.30000000e+03
8,10,18,2.30000000e+03
8,10,19,2.30000000e+03
8,10,20,2.30000000e+03
8,10,21,2.30000000e+03
8,10,22,2.30000000e+03
8,10,23,2.30000000e+03
8,10,24,2.30000000e+03
8,10,25,2.30000000e+03
8,10,26,2.30000000e+03
8,10,27,2.30000000e+03
8,10,28,2.30000000e+03
8,10,29,2.30000000e+03
8,10,30,2.30000000e+03
8,10,31,2.30000000e+03
8,10,32,2.30000000e+03
8,10,33,2.30000000e+03
8,10,34,2.30000000e+03
8,10,35,2.30000000e+03
8,10,36,2.30000000e+03
8,10,37,2.30000000e+03
8,10,38,2.30000000e+03
8,10,39,2.30000000e+03
8,10,40,2.30000000e+03
8,10,41,2.30000000e+03
8,10,42,2.30000000e+03
8,10,43,2.30000000e+03
8,10,44,2.30000000e+03
8,10,45,2.30000000e+03
8,10,46,2.30000000e+03
8,10,47,2.30000000e+03
8,10,48,2.30000000e+03
8,10,49,2.30000000e+03
8,10,50,2.30000000e+03
8,10,51,2.30000000e+03
9,10,1,2.73091389e+03
9,10,2,2.50000000e+03
9,10,3,2.73005769e+03
9,10,4,2.73192362e+03
9,10,5,2.50027925e+03
9,10,6,2.57311091e+03
9,10,7,2.73030188e+03
9,10,8,2.73327267e+03
9,10,9,2.72939078e+03
9,10,10,2.72956458e+03
9,10,11,2.73170087e+03
9,10,12,2.73038680e+03
9,10,13,2.72954441e+03
9,10,14,2.73225621e+03
9,10,15,2.73038852e+03
9,10,16,2.73091365e+03
9,10,17,2.73194325e+03
9,10,18,2.73093190e+03
9,10,19,2.73280007e+03
9,10,20,2.73212243e+03
9,10,21,2.72831908e+03
9,10,22,2.72954494e+03
9,10,23,2.73186328e+03
9,10,24,2.73093151e+03
9,10,25,2.73238139e+03
9,10,26,2.73214985e+03
9,10,27,2.73297632e+03
9,10,28,2.73039744e+03
9,10,29,2.73038446e+03
9,10,30,2.73083071e+03
9,10,31,2.72964589e+03
9,10,32,2.73166284e+03
9,10,33,2.50000000e+03
9,10,34,2.72964527e+03
9,10,35,2.72954498e+03
9,10,36,2.73352196e+03
9,10,37,2.73221561e+03
9,10,38,2.50000000e+03
9,10,39,2.73274404e+03
9,10,40,2.73099280e+03
9,10,41,2.73343390e+03
9,10,42,2.73219386e+03
9,10,43,2.73212062e+03
9,10,44,2.72982665e+03
9,10,45,2.73071144e+03
9,10,46,2.50000000e+03
9,10,47,2.73030202e+03
9,10,48,2.50000000e+03
9,10,49,2.73030200e+03
9,10,50,2.73122726e+03
9,10,51,2.73053138e+03
10,10,1,2.94335675e+03
10,10,2,2.89800899e+03
10,10,3,2.94577756e+03
10,10,4,2.89800899e+03
10,10,5,2.89774287e+03
10,10,6,2.89803578e+03
10,10,7,2.94333391e+03
10,10,8,2.94337224e+03
10,10,9,2.89774287e+03
10,10,10,2.89800899e+03
10,10,11,2.89803578e+03
10,10,12,2.89800899e+03
10,10,13,2.94333391e+03
10,10,14,2.89803196e+03
10,10,15,2.89800899e+03
10,10,16,2.89803292e+03
10,10,17,2.94338066e+03
10,10,18,2.89803578e+03
10,10,19,2.94332996e+03
10,10,20,2.89800899e+03
10,10,21,2.89800899e+03
10,10,22,2.89803578e+03
10,10,23,2.89800899e+03
10,10,24,2.89800899e+03
10,10,25,2.89774287e+03
10,10,26,2.89774287e+03
10,10,27,2.94332995e+03
10,10,28,2.89800899e+03
10,10,29,2.94577756e+03
10,10,30,2.89774287e+03
10,10,31,2.89800899e+03
10,10,32,2.89774287e+03
10,10,33,2.94332995e+03
10,10,34,2.89800899e+03
10,10,35,2.89774287e+03
10,10,36,2.94338110e+03
10,10,37,2.89800899e+03
10,10,38,2.89800899e+03
10,10,39,2.89800899e+03
10,10,40,2.94333391e+03
10,10,41,2.89800899e+03
10,10,42,2.89800899e+03
10,10,43,2.89774287e+03
10,10,44,2.89800899e+03
10,10,45,2.94332995e+03
10,10,46,2.94332995e+03
10,10,47,2.89800899e+03
10,10,48,2.89800899e+03
10,10,49,2.89800899e+03
10,10,50,2.89800899e+03
10,10,51,2.94333391e+03
