Function,Dimension,Run,Error,Evals,Time
1,10,1,3.47894e-15,2990,0.207
2,10,1,4.37383e-15,8000,0.619
3,10,1,1.63556e-14,10320,0.831
4,10,1,5.00922e-15,7020,0.506
5,10,1,5.66239e-13,14900,1.027
6,10,1,9.81242,7080,0.629
7,10,1,1.5556,14970,1.244
8,10,1,20.5638,19070,1.517
9,10,1,4.65186,11880,1.308
10,10,1,0.0271008,3950,0.325
11,10,1,13.9294,3360,0.266
12,10,1,11.9395,4740,0.364
13,10,1,33.7055,7310,0.631
14,10,1,1669.36,15020,1.328
15,10,1,1518.66,17690,1.427
16,10,1,1.48265,18300,1.652
17,10,1,12.31,21050,1.669
18,10,1,46.8156,17800,1.506
19,10,1,0.93291,9940,0.807
20,10,1,3.66221,27730,2.105
21,10,1,400.194,2880,0.238
22,10,1,1770.1,4560,0.357
23,10,1,1708.09,2600,0.215
24,10,1,215.537,7490,0.996
25,10,1,202.834,7690,0.872
26,10,1,400.296,6280,0.765
27,10,1,400,5200,0.688
28,10,1,637.938,4280,0.39
1,10,2,1.01731e-15,2780,0.251
2,10,2,3.52664e-16,7390,0.581
3,10,2,4.03042e-11,15860,1.284
4,10,2,1.45373e-15,6920,0.568
5,10,2,1.33656e-12,13890,1.109
6,10,2,9.81242,3470,0.313
7,10,2,10.0026,12860,1.032
8,10,2,20.0259,27730,2.104
9,10,2,6.25813,16230,1.786
10,10,2,0.00739604,3300,0.254
11,10,2,14.9244,3800,0.266
12,10,2,22.884,3640,0.288
13,10,2,35.6782,3290,0.328
14,10,2,928.144,4040,0.309
15,10,2,484.068,13370,1.126
16,10,2,0.116896,27730,2.362
17,10,2,19.3484,7270,0.547
18,10,2,23.8744,5850,0.477
19,10,2,0.724824,4860,0.387
20,10,2,4.04006,16590,1.22
21,10,2,400.194,2590,0.246
22,10,2,2356.71,27730,2.351
23,10,2,1659.9,27730,2.339
24,10,2,213.648,5670,0.719
25,10,2,216.509,11370,1.435
26,10,2,400.099,5150,0.603
27,10,2,400,4460,0.554
28,10,2,400,6290,0.506
1,10,3,1.88286e-15,3130,0.249
2,10,3,9.17826e-15,8690,0.648
3,10,3,2.84192e-11,11110,0.979
4,10,3,1.54574e-15,7390,0.601
5,10,3,2.87297e-12,13530,1.082
6,10,3,2.47476e-15,4340,0.34
7,10,3,0.50872,27730,2.091
8,10,3,20.6217,10910,1.016
9,10,3,1.78872,11860,1.346
10,10,3,0.0221857,4030,0.362
11,10,3,12.9345,4000,0.346
12,10,3,14.9244,6280,0.492
13,10,3,43.1179,6710,0.576
14,10,3,1988.12,13780,1.144
15,10,3,1434.9,4210,0.273
16,10,3,2.01425,15040,1.406
17,10,3,29.2363,6510,0.525
18,10,3,39.4191,27730,2.294
19,10,3,1.2355,8810,0.733
20,10,3,3.8893,9500,0.728
21,10,3,400.194,2880,0.269
22,10,3,1555.84,5140,0.438
23,10,3,2264.75,12550,1.093
24,10,3,212.565,8190,1.03
